#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      6.60e+00    5.82e+00      7.95e-02    7.83e-02      2.09e-01    1.84e-01    5.0e-03
    100      7.94e-01    6.67e-01      9.84e-02    1.32e-01      2.50e-02    2.08e-02    5.0e-03
    200      6.00e-01    6.00e-01      3.70e-01    2.51e-01      1.65e-02    1.79e-02    5.0e-03
    300      7.12e-01    5.70e-01      1.72e-01    1.03e-01      2.21e-02    1.78e-02    5.0e-03
    400      9.64e-01    9.28e-01      1.93e-01    1.67e-01      3.01e-02    2.91e-02    5.0e-03
    500      4.34e-01    4.49e-01      3.19e-01    1.30e-01      1.11e-02    1.38e-02    5.0e-03
    600      4.31e-01    4.95e-01      1.32e-01    2.89e-01      1.32e-02    1.38e-02    5.0e-03
    700      5.01e-01    4.81e-01      3.87e-01    1.87e-01      1.25e-02    1.45e-02    5.0e-03
    800      4.12e-01    4.86e-01      8.23e-02    2.89e-01      1.29e-02    1.35e-02    5.0e-03
    900      5.22e-01    4.73e-01      1.38e-01    1.45e-01      1.61e-02    1.45e-02    5.0e-03
   1000      3.17e-01    3.47e-01      1.52e-01    5.36e-02      9.26e-03    1.09e-02    5.0e-03
   1100      5.42e-01    3.01e-01      5.07e-02    2.74e-02      1.71e-02    9.50e-03    5.0e-03
   1200      2.53e-01    2.39e-01      3.23e-02    7.87e-02      7.96e-03    7.29e-03    5.0e-03
   1300      2.09e-01    2.21e-01      3.38e-02    7.75e-02      6.55e-03    6.71e-03    5.0e-03
   1400      3.35e-01    2.41e-01      8.23e-02    7.35e-02      1.04e-02    7.39e-03    5.0e-03
   1500      5.81e-01    4.41e-01      2.08e-01    1.60e-01      1.76e-02    1.33e-02    5.0e-03
   1600      1.10e+00    5.32e-01      4.80e-01    3.72e-01      3.28e-02    1.39e-02    5.0e-03
   1700      4.28e-01    3.26e-01      2.00e-01    2.02e-01      1.26e-02    8.97e-03    5.0e-03
   1800      1.71e-01    1.95e-01      3.92e-02    1.95e-02      5.32e-03    6.14e-03    5.0e-03
   1900      3.98e-01    3.02e-01      1.92e-01    2.28e-01      1.16e-02    7.60e-03    5.0e-03
   2000      2.87e-01    2.56e-01      5.35e-02    6.32e-02      8.98e-03    7.93e-03    5.0e-03
   2100      2.88e-01    3.81e-01      3.41e-02    4.02e-02      9.08e-03    1.20e-02    5.0e-03
   2200      3.72e-01    2.17e-01      1.12e-01    1.28e-01      1.14e-02    6.05e-03    5.0e-03
   2300      2.26e-01    2.64e-01      3.95e-02    6.76e-02      7.09e-03    8.18e-03    5.0e-03
