#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      6.57e+00    4.95e+00      4.56e-01    4.55e-01      2.07e-01    1.56e-01    5.0e-03
    100      8.38e-01    7.78e-01      2.96e-01    3.38e-01      2.54e-02    2.31e-02    5.0e-03
    200      7.25e-01    6.19e-01      2.27e-01    2.25e-01      2.22e-02    1.87e-02    5.0e-03
    300      4.64e-01    5.29e-01      3.85e-01    2.58e-01      1.10e-02    1.54e-02    5.0e-03
    400      5.50e-01    5.50e-01      9.26e-02    9.26e-02      1.72e-02    1.72e-02    5.0e-03
    500      3.77e-01    2.66e-01      1.73e-01    1.18e-01      1.11e-02    7.87e-03    5.0e-03
    600      5.28e-01    4.53e-01      1.72e-01    2.31e-01      1.61e-02    1.31e-02    5.0e-03
    700      2.79e-01    2.84e-01      6.55e-02    1.88e-01      8.67e-03    7.63e-03    5.0e-03
    800      2.97e-01    4.20e-01      3.58e-02    1.66e-01      9.35e-03    1.26e-02    5.0e-03
    900      4.46e-01    3.17e-01      1.54e-01    1.55e-01      1.36e-02    9.21e-03    5.0e-03
   1000      2.95e-01    3.21e-01      6.42e-03    1.32e-01      9.32e-03    9.58e-03    5.0e-03
   1100      2.59e-01    2.46e-01      1.81e-01    1.11e-01      6.78e-03    7.25e-03    5.0e-03
   1200      2.34e-01    2.56e-01      6.39e-02    8.33e-02      7.22e-03    7.80e-03    5.0e-03
   1300      8.32e-01    6.13e-01      2.03e-01    1.67e-01      2.58e-02    1.89e-02    5.0e-03
   1400      7.66e-01    3.96e-01      1.37e-01    1.05e-01      2.40e-02    1.22e-02    5.0e-03
   1500      3.03e-01    2.00e-01      8.95e-02    4.92e-02      9.31e-03    6.20e-03    5.0e-03
   1600      2.69e-01    1.60e-01      7.67e-02    4.23e-02      8.30e-03    4.94e-03    5.0e-03
   1700      4.50e-01    7.24e-01      3.55e-01    3.80e-01      1.10e-02    2.08e-02    5.0e-03
   1800      2.54e-01    3.15e-01      8.09e-02    1.48e-01      7.77e-03    9.23e-03    5.0e-03
   1900      2.04e-01    1.93e-01      2.20e-02    5.47e-03      6.43e-03    6.11e-03    5.0e-03
   2000      3.07e-01    2.34e-01      1.02e-01    9.01e-02      9.37e-03    7.05e-03    5.0e-03
   2100      2.70e-01    3.13e-01      1.39e-02    3.48e-02      8.53e-03    9.86e-03    5.0e-03
   2200      2.17e-01    2.27e-01      6.67e-02    5.72e-02      6.67e-03    7.03e-03    5.0e-03
   2300      2.48e-01    2.33e-01      4.93e-02    4.34e-02      7.76e-03    7.29e-03    5.0e-03
   2400      7.97e-01    7.07e-01      2.74e-01    2.23e-01      2.42e-02    2.16e-02    5.0e-03
   2500      2.37e-01    3.08e-01      4.54e-02    7.46e-02      7.39e-03    9.55e-03    5.0e-03
   2600      2.11e-01    2.96e-01      2.61e-03    6.12e-02      6.66e-03    9.24e-03    5.0e-03
   2700      6.17e-01    6.67e-01      2.03e-01    1.62e-01      1.88e-02    2.07e-02    5.0e-03
   2800      1.58e-01    1.41e-01      4.73e-02    5.62e-03      4.86e-03    4.44e-03    5.0e-03
   2900      2.35e-01    2.31e-01      6.21e-02    1.99e-02      7.26e-03    7.28e-03    5.0e-03
   3000      4.05e-01    2.25e-01      1.45e-02    3.42e-02      1.28e-02    7.07e-03    5.0e-03
   3100      2.36e-01    2.35e-01      1.77e-02    7.81e-03      7.45e-03    7.44e-03    5.0e-03
   3200      1.95e-01    2.39e-01      2.72e-02    3.98e-02      6.13e-03    7.50e-03    5.0e-03
   3300      1.75e-01    1.66e-01      6.17e-03    6.18e-03      5.53e-03    5.25e-03    5.0e-03
   3400      3.68e-01    4.52e-01      1.20e-01    9.78e-02      1.12e-02    1.41e-02    5.0e-03
   3500      3.71e-01    3.26e-01      1.20e-01    1.08e-01      1.13e-02    9.92e-03    5.0e-03
   3600      4.09e-01    2.92e-01      5.65e-02    6.74e-02      1.28e-02    9.09e-03    5.0e-03
   3700      2.81e-01    2.68e-01      4.23e-02    7.24e-02      8.82e-03    8.27e-03    5.0e-03
   3800      1.64e-01    1.63e-01      6.78e-03    2.25e-02      5.19e-03    5.12e-03    5.0e-03
   3900      1.92e-01    1.58e-01      7.36e-04    1.12e-02      6.07e-03    4.99e-03    5.0e-03
   4000      2.54e-01    1.36e-01      2.62e-02    1.32e-03      8.00e-03    4.31e-03    5.0e-03
   4100      2.07e-01    1.68e-01      1.05e-02    2.46e-03      6.54e-03    5.31e-03    5.0e-03
   4200      2.61e-01    1.99e-01      1.79e-02    7.45e-03      8.25e-03    6.30e-03    5.0e-03
   4300      1.86e-01    1.72e-01      7.10e-02    5.82e-02      5.60e-03    5.23e-03    5.0e-03
   4400      1.41e-01    1.81e-01      4.15e-02    3.96e-02      4.33e-03    5.64e-03    5.0e-03
   4500      3.75e-01    2.00e-01      1.28e-01    1.26e-01      1.14e-02    5.48e-03    5.0e-03
   4600      4.43e-01    2.69e-01      3.55e-02    3.59e-02      1.40e-02    8.47e-03    5.0e-03
   4700      2.32e-01    2.00e-01      7.93e-02    7.87e-02      7.05e-03    6.01e-03    5.0e-03
   4800      1.95e-01    2.30e-01      9.64e-02    1.20e-01      5.65e-03    6.63e-03    5.0e-03
   4900      4.48e-01    3.17e-01      8.44e-02    7.42e-02      1.40e-02    9.86e-03    5.0e-03
   5000      2.04e-01    5.62e-01      1.60e-02    2.15e-02      6.45e-03    1.78e-02    5.0e-03
   5100      3.38e-01    2.52e-01      2.34e-02    1.75e-02      1.07e-02    7.94e-03    5.0e-03
   5200      1.96e-01    1.86e-01      3.16e-02    2.53e-02      6.15e-03    5.86e-03    5.0e-03
   5300      3.35e-01    3.28e-01      1.35e-01    1.49e-01      1.00e-02    9.68e-03    5.0e-03
   5400      3.04e-01    2.03e-01      6.73e-02    6.81e-02      9.46e-03    6.17e-03    5.0e-03
   5500      1.99e-01    2.08e-01      7.92e-03    5.89e-03      6.30e-03    6.57e-03    5.0e-03
   5600      1.78e-01    1.57e-01      2.21e-02    3.81e-02      5.59e-03    4.88e-03    5.0e-03
   5700      2.34e-01    2.60e-01      8.48e-02    9.67e-02      7.07e-03    7.86e-03    5.0e-03
   5800      2.31e-01    2.10e-01      1.59e-01    1.73e-01      6.08e-03    5.00e-03    5.0e-03
   5900      1.49e-01    1.67e-01      2.74e-02    3.03e-02      4.65e-03    5.21e-03    5.0e-03
   6000      1.51e-01    1.63e-01      3.15e-02    3.18e-02      4.70e-03    5.10e-03    5.0e-03
   6100      1.53e-01    1.15e-01      2.77e-03    3.05e-03      4.84e-03    3.63e-03    5.0e-03
   6200      2.43e-01    1.36e-01      1.99e-02    2.30e-02      7.65e-03    4.26e-03    5.0e-03
   6300      2.09e-01    1.69e-01      5.70e-02    5.66e-02      6.44e-03    5.13e-03    5.0e-03
   6400      1.15e-01    1.25e-01      2.98e-03    2.66e-03      3.63e-03    3.96e-03    5.0e-03
   6500      2.89e-01    4.06e-01      1.87e-01    1.94e-01      7.81e-03    1.19e-02    5.0e-03
   6600      1.70e-01    1.54e-01      9.18e-03    4.46e-04      5.36e-03    4.87e-03    5.0e-03
   6700      1.38e-01    1.57e-01      1.02e-02    1.01e-02      4.36e-03    4.97e-03    5.0e-03
   6800      2.05e-01    2.62e-01      1.32e-02    1.20e-02      6.48e-03    8.28e-03    5.0e-03
   6900      1.55e-01    1.74e-01      1.74e-02    2.46e-02      4.87e-03    5.47e-03    5.0e-03
   7000      1.68e-01    1.69e-01      8.81e-02    8.43e-02      4.82e-03    4.92e-03    5.0e-03
   7100      2.04e-01    1.39e-01      3.08e-02    3.28e-02      6.39e-03    4.30e-03    5.0e-03
   7200      1.72e-01    1.57e-01      5.57e-02    5.88e-02      5.24e-03    4.75e-03    5.0e-03
   7300      5.83e-01    4.37e-01      5.45e-02    5.41e-02      1.84e-02    1.37e-02    5.0e-03
   7400      2.61e-01    2.04e-01      8.09e-02    1.14e-01      8.01e-03    5.76e-03    5.0e-03
   7500      1.79e-01    1.35e-01      2.54e-03    2.49e-02      5.67e-03    4.23e-03    5.0e-03
   7600      2.96e-01    2.38e-01      7.24e-02    8.16e-02      9.17e-03    7.24e-03    5.0e-03
   7700      2.61e-01    3.06e-01      9.36e-03    1.62e-02      8.27e-03    9.66e-03    5.0e-03
   7800      1.65e-01    1.42e-01      3.46e-03    4.99e-03      5.21e-03    4.47e-03    5.0e-03
   7900      1.82e-01    1.63e-01      2.62e-03    1.24e-03      5.77e-03    5.15e-03    5.0e-03
   8000      1.35e-01    1.52e-01      2.84e-03    2.41e-03      4.26e-03    4.81e-03    5.0e-03
   8100      2.73e-01    1.69e-01      5.27e-02    5.83e-02      8.54e-03    5.13e-03    5.0e-03
   8200      2.44e-01    2.38e-01      5.79e-02    5.85e-02      7.57e-03    7.36e-03    5.0e-03
   8300      3.21e-01    1.83e-01      7.98e-02    8.26e-02      9.96e-03    5.40e-03    5.0e-03
