#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.009449e-02       6.109586e-06       5.154487e-03       7.974324e-04       2.546701e-04       5.464042e-04
         100       1.822111e-02       2.073391e-03       9.891248e-03       1.201322e-01       6.485526e-03       3.477206e-02
         200       1.939164e-02       7.808613e-04       9.880663e-03       1.095691e-01       7.600227e-03       4.101700e-02
         300       1.393546e-02       1.944702e-03       8.996917e-03       1.374295e-01       4.926929e-03       4.221991e-02
         400       1.542865e-02       7.462263e-04       7.273032e-03       9.980609e-02       4.697013e-03       2.334689e-02
         500       2.724647e-02       2.812388e-03       1.427890e-02       1.439207e-01       7.891354e-03       5.124365e-02
         600       2.826217e-02       7.248066e-03       1.595639e-02       2.431786e-01       9.187094e-03       7.896723e-02
         700       4.677490e-02       2.349834e-03       2.397401e-02       3.788972e-01       2.675756e-02       1.248316e-01
         800       4.025000e-02       4.718396e-03       2.173314e-02       4.331770e-01       1.647090e-02       1.005957e-01
         900       2.904745e-02       2.889721e-03       1.596890e-02       2.765416e-01       8.120449e-03       7.750620e-02
        1000       5.010675e-02       2.542005e-03       2.450877e-02       4.183181e-01       2.126865e-02       1.114486e-01
        1100       1.166328e-01       4.182879e-03       6.208946e-02       1.621653e+00       1.548351e-02       2.343054e-01
        1200       3.625257e-02       1.701238e-03       1.858425e-02       2.618017e-01       1.705960e-02       1.039871e-01
        1300       2.098708e-02       2.952300e-03       9.873531e-03       1.723597e-01       8.222286e-03       4.274337e-02
        1400       3.433065e-02       7.692960e-03       1.779404e-02       3.692916e-01       1.237876e-02       9.721724e-02
        1500       4.010369e-02       6.292185e-04       2.018928e-02       4.616277e-01       1.607816e-02       1.203770e-01
        1600       1.907307e-02       2.688300e-03       1.056813e-02       1.576907e-01       1.072136e-02       5.361270e-02
        1700       3.303401e-02       1.991534e-03       2.038116e-02       3.248155e-01       1.384965e-02       9.438746e-02
        1800       3.323762e-02       4.180508e-03       1.767955e-02       3.018813e-01       1.500158e-02       9.264819e-02
        1900       3.563505e-02       3.673319e-03       2.134898e-02       4.650385e-01       1.193963e-02       9.212502e-02
        2000       1.819764e-01       1.738059e-03       8.869847e-02       1.537907e+00       2.123384e-02       2.753824e-01
        2100       1.033284e-01       1.823337e-03       4.907870e-02       1.212817e+00       3.306747e-02       2.229193e-01
        2200       4.107392e-02       7.014009e-03       2.573172e-02       3.486099e-01       2.163165e-02       1.154950e-01
