#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.009449e-02       6.109586e-06       5.154487e-03       7.974324e-04       2.546701e-04       5.464042e-04
         100       1.294943e-01       1.033388e-03       6.365885e-02       1.620150e+00       3.207609e-02       2.543824e-01
         200       4.312685e-02       4.840801e-03       2.310091e-02       3.455411e-01       2.212064e-02       1.410576e-01
         300       1.324446e-01       6.383604e-03       7.069876e-02       1.302344e+00       2.251817e-02       2.561481e-01
         400       1.159455e-01       9.383650e-04       5.950682e-02       1.905077e+00       1.450113e-02       2.169012e-01
         500       1.481941e-01       1.028889e-02       7.419448e-02       8.727363e-01       2.604491e-02       3.049383e-01
         600       3.591217e-01       5.237473e-02       2.155062e-01       2.678601e+00       4.110501e-02       6.550026e-01
         700       3.618961e-01       2.626244e-02       1.913016e-01       1.842501e+00       8.493850e-02       6.517982e-01
         800       3.821606e-01       3.567472e-02       2.192097e-01       2.860502e+00       6.071523e-02       6.826032e-01
         900       4.532554e-01       4.365015e-02       2.482469e-01       2.180179e+00       6.768559e-02       8.316565e-01
        1000       3.295699e-01       1.109319e-02       1.586533e-01       1.869635e+00       8.380286e-02       5.189694e-01
        1100       4.198524e-01       3.794704e-02       2.301751e-01       1.888238e+00       1.452069e-01       6.846582e-01
        1200       5.649346e-01       5.260218e-02       3.139376e-01       2.322183e+00       5.970531e-02       9.243825e-01
        1300       3.286002e-01       7.702568e-03       1.673718e-01       2.350236e+00       1.091017e-01       5.454608e-01
        1400       2.156233e-01       1.906372e-02       1.097975e-01       1.593395e+00       8.365770e-02       3.790198e-01
        1500       2.339617e-01       3.232569e-03       1.181269e-01       1.757650e+00       7.863302e-02       4.108495e-01
        1600       3.509278e-01       2.796825e-02       1.913789e-01       1.965034e+00       7.236538e-02       6.160512e-01
        1700       2.754602e-01       1.783782e-02       1.267770e-01       1.642980e+00       7.604527e-02       4.741529e-01
        1800       3.189347e-01       1.700373e-02       1.575976e-01       2.760485e+00       5.839626e-02       4.807976e-01
        1900       3.859698e-01       2.867270e-02       1.901391e-01       1.814890e+00       8.953648e-02       5.925625e-01
        2000       4.628227e-01       3.812752e-02       2.579382e-01       3.115051e+00       1.018586e-01       8.260867e-01
        2100       3.299730e-01       3.507800e-02       1.622058e-01       2.902367e+00       5.496961e-02       5.694931e-01
